frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
201,0.2195,21.9440,0.5108,6.0449,0.0115,0.4694,0.2963,0.1003,23.0710
202,0.2532,12.7453,1.1493,5.2613,0.0090,1.1113,0.3219,0.0959,14.5657
203,0.2080,20.3872,0.0342,5.5501,0.0077,0.0018,0.3873,0.1398,21.1566
204,0.1882,19.3459,0.0392,5.4102,0.0091,0.0022,0.3607,0.0990,20.0329
205,0.1849,21.0633,0.0436,4.8590,0.0103,0.0019,0.3715,0.2092,21.8725
206,0.2614,13.7677,8.8867,5.0594,0.0250,8.7941,0.4233,0.1185,23.4576
207,0.2060,12.8585,0.0494,6.4259,0.0145,0.0024,0.3723,0.1102,13.5963
208,0.2292,12.9752,9.6620,8.8012,0.0225,9.5635,0.3605,0.1097,23.3367
209,0.1735,13.3488,0.0467,7.4271,0.0117,0.0021,0.3534,0.1015,14.0238
210,0.1918,16.7727,6.5249,8.4604,0.0092,6.4083,0.3307,0.1145,23.9345
211,0.2311,13.3780,0.0582,6.1607,0.0151,0.0024,0.4410,0.1625,14.2708
212,0.2102,18.7884,0.0843,6.0051,0.0205,0.0026,0.6215,0.2439,19.9483
213,0.5406,19.1492,0.0346,4.8250,0.0071,0.0016,0.2727,0.0788,20.0760
214,0.1951,12.3855,8.3757,10.2421,0.0103,8.3368,0.3676,0.1245,21.4485
215,0.1938,15.7568,0.0920,9.5075,0.0200,0.0023,0.6386,0.2342,16.9154
216,0.9643,15.8949,0.0758,4.7520,0.0195,0.0031,0.5780,0.1576,17.6706
217,0.2994,11.0222,0.0563,4.7476,0.0151,0.0026,0.3158,0.0933,11.7869
218,0.1798,13.1455,11.8398,8.5264,0.0129,11.7829,0.3789,0.1076,25.6516
219,0.2118,11.4875,0.0371,8.5540,0.0101,0.0017,0.2747,0.0810,12.0920
220,0.2088,11.0740,5.3912,5.2860,0.0089,5.3535,0.3610,0.1087,17.1437
221,0.1829,14.0283,7.9417,7.9642,0.0169,7.8927,0.3496,0.1081,22.6106
222,0.2684,11.4477,1.7740,6.5149,0.0079,1.7434,0.3336,0.1001,13.9240
223,0.1921,14.4815,8.2737,5.3246,0.0234,8.2111,0.3547,0.0982,23.4002
224,0.2997,9.5422,3.1870,6.5389,0.0143,3.1386,0.3145,0.1015,13.4448
225,0.2335,13.1954,7.6869,6.0461,0.0167,7.6211,0.3279,0.1044,21.5481
226,0.2075,10.1783,1.3608,6.1773,0.0085,1.3262,0.3200,0.1291,12.1956
227,0.2250,15.3337,0.0279,5.5986,0.0073,0.0015,0.2587,0.0804,15.9256
228,0.2743,10.8311,7.5948,9.0596,0.0120,7.5438,0.3236,0.1322,19.1561
229,0.2074,14.5595,0.0338,9.1355,0.0074,0.0018,0.2986,0.0879,15.1872
230,0.2013,10.9829,7.9240,9.1026,0.0212,7.8455,0.3357,0.0935,19.5374
231,0.3002,14.9578,0.0800,8.9827,0.0208,0.0027,0.6295,0.1923,16.1598
232,0.4033,13.9624,0.0986,4.7419,0.0313,0.0023,5.3655,0.1175,19.9474
233,0.2073,14.0603,0.0465,4.7926,0.0113,0.0021,0.4248,0.0981,14.8370
234,0.3051,11.1714,8.5437,7.9058,0.0115,8.5030,0.3528,0.0995,20.4725
235,0.1583,10.0205,11.9702,9.6254,0.0224,11.8797,0.4273,0.1424,22.7186
236,0.2325,9.1042,0.0424,6.9716,0.0118,0.0021,0.3004,0.0930,9.7725
237,0.2844,13.2577,0.0384,5.6031,0.0093,0.0017,0.2842,0.0851,13.9498
238,0.2540,10.6258,7.6527,8.0779,0.0155,7.6069,0.3598,0.1266,19.0190
239,0.1815,11.5680,5.9537,9.2795,0.0125,5.9094,0.3645,0.0927,18.1604
240,0.2140,10.3826,1.8822,6.3330,0.0093,1.8477,0.2945,0.1010,12.8742
241,0.2664,13.2643,7.7913,6.0450,0.0071,7.7563,0.4452,0.1170,21.8842
242,0.2252,10.3601,0.0435,6.3233,0.0102,0.0020,0.3388,0.0921,11.0597
243,0.3119,11.0890,4.2557,4.7887,0.0069,4.2263,0.2498,0.0678,15.9742
244,0.1945,10.3941,8.3705,7.2562,0.0078,8.3349,0.3806,0.1265,19.4662
245,0.2897,11.2465,0.0369,6.7128,0.0085,0.0022,0.3157,0.0942,11.9830
246,0.3532,13.7241,7.2055,4.9829,0.0353,7.0854,2.7724,0.1633,24.2185
247,0.2940,8.7313,0.0484,5.1381,0.0130,0.0026,0.4001,0.1260,9.5999
248,0.3603,10.6223,2.0361,5.2444,0.0103,1.9847,0.3670,0.1161,13.5018
249,0.2056,14.4074,5.4035,5.9927,0.0303,5.2811,0.8534,0.1805,21.0503
250,0.2629,10.8121,0.0370,6.0338,0.0089,0.0015,0.3194,0.0948,11.5262
251,0.2853,16.3998,0.0894,4.7981,0.0233,0.0064,0.5568,0.2835,17.6147
252,0.3700,15.4480,0.0492,4.7629,0.0135,0.0021,0.3912,0.1162,16.3746
253,0.2617,17.1183,0.0582,4.8349,0.0135,0.0023,0.4390,0.1153,17.9926
254,0.1933,12.6650,9.0135,7.3309,0.0203,8.9245,0.3222,0.1222,22.3163
255,0.2413,9.7376,0.0472,6.4407,0.0113,0.0015,0.2953,0.0962,10.4176
256,0.2884,10.5275,3.1259,5.1919,0.0093,3.0888,0.3217,0.0929,14.3564
257,0.2367,16.9638,0.0483,6.4148,0.0132,0.0056,0.3770,0.0824,17.7082
258,0.2838,10.1937,12.3968,9.8143,0.0064,12.3607,0.3879,0.0893,23.3514
259,0.1527,10.6894,0.0358,8.0519,0.0091,0.0017,0.4315,0.1047,11.4141
260,0.2250,14.1339,0.0415,4.9774,0.0090,0.0011,0.2910,0.0894,14.7807
261,0.1999,17.5640,0.0353,4.8670,0.0073,0.0017,0.2502,0.0853,18.1348
262,0.2648,10.3648,8.2411,9.7935,0.0083,8.1999,0.2981,0.0872,19.2560
263,0.2232,14.7160,0.0847,9.4358,0.0120,0.0069,0.2587,0.0997,15.3822
264,0.2789,10.3930,5.4980,6.1865,0.0072,5.4515,0.3704,0.1209,16.6612
265,0.1823,12.9871,17.1837,8.4961,0.0134,17.1380,0.3314,0.0821,30.7665
266,0.1712,8.5709,0.0299,6.7663,0.0078,0.0017,0.2287,0.0710,9.0718
267,0.2100,12.1507,0.0359,4.7993,0.0081,0.0017,0.2562,0.0849,12.7376
268,0.2205,10.3437,8.7556,10.2592,0.0098,8.7078,0.3514,0.1285,19.7996
269,0.2278,13.7113,0.0345,9.6968,0.0086,0.0018,0.2870,0.0812,14.3418
270,0.2069,10.3614,10.7201,9.4413,0.0185,10.6654,0.2995,0.0990,21.6870
271,0.1830,13.0675,0.0598,10.0086,0.0140,0.0024,0.3757,0.0878,13.7737
272,0.2776,10.8880,9.7872,7.5078,0.0115,9.7370,0.3514,0.1395,21.4437
273,0.2266,11.3391,0.0364,7.9315,0.0075,0.0018,0.2230,0.0971,11.9222
274,0.2074,10.4283,5.3801,5.3135,0.0270,5.3262,0.2429,0.0767,16.3355
275,0.1654,12.9519,17.8167,11.1656,0.0047,17.7954,0.2990,0.0736,31.3066
276,0.1181,8.4775,0.0382,6.8201,0.0084,0.0014,0.2432,0.0891,8.9661
277,0.2024,11.6935,0.0326,5.4803,0.0071,0.0013,0.2364,0.0704,12.2354
278,0.1921,10.3110,12.2136,9.8496,0.0069,12.1815,0.3071,0.0722,23.0960
279,0.1794,11.2878,0.0300,8.0291,0.0069,0.0011,0.2618,0.0710,11.8300
280,0.3005,10.3395,4.6470,5.2004,0.0093,4.6183,0.3012,0.0971,15.6854
281,0.1984,15.1912,1.6751,7.5231,0.0558,1.5726,0.3201,0.0881,17.4730
282,0.1954,10.2779,6.9220,6.8081,0.0098,6.8893,0.2945,0.0866,17.7764
283,0.1905,14.8556,0.0411,8.5016,0.0105,0.0018,0.3150,0.1090,15.5112
284,0.2163,9.7313,14.7380,7.4845,0.0087,14.7020,0.3107,0.0778,25.0742
285,0.2068,8.5652,0.0270,6.4126,0.0060,0.0015,0.2093,0.0641,9.0724
286,0.2127,10.3656,2.4496,5.5948,0.0064,2.4158,0.2843,0.0905,13.4028
287,0.2566,8.6840,18.9123,6.8418,0.0119,18.8627,0.3325,0.0933,28.2788
288,0.2011,8.7964,0.0332,8.9861,0.0090,0.0015,0.2516,0.0752,9.3576
289,0.2524,13.4307,0.0313,4.8996,0.0073,0.0012,0.2473,0.0788,14.0406
290,0.2170,10.2234,11.3418,9.5864,0.0083,11.2996,0.2891,0.0789,22.1503
291,0.1931,10.4638,0.0424,8.1081,0.0120,0.0013,0.3220,0.0972,11.1184
292,0.2497,10.6987,3.1939,5.1895,0.0097,3.1523,0.2775,0.0967,14.5165
