frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
213,19.3174,1.6587,0.0258,5.0989,0.0058,0.0010,0.1510,0.0856,21.2384
214,14.3739,1.8143,8.5477,5.6119,0.0061,8.5250,0.2623,0.0734,25.0716
215,14.0244,1.7897,0.0187,7.4548,0.0045,0.0012,0.1404,0.0808,16.0539
216,16.6527,1.9098,2.2895,5.3743,0.0048,2.2681,0.2060,0.0862,21.1441
217,18.5892,1.7780,0.0293,5.9956,0.0069,0.0017,0.1928,0.0931,20.6824
218,14.6971,2.4491,6.2941,5.4221,0.0072,6.2603,0.2795,0.0850,23.8049
219,14.3484,1.7306,0.0223,6.2477,0.0047,0.0014,0.1742,0.0889,16.3644
220,11.3314,1.8554,11.9923,5.7701,0.0043,11.9690,0.2888,0.0737,25.5415
221,10.7160,1.8707,0.0299,8.1396,0.0077,0.0018,0.1885,0.0773,12.8824
222,13.8412,1.8223,2.2274,5.2943,0.0107,2.1983,0.2012,0.0897,18.1817
223,17.3904,1.8261,0.0230,6.0705,0.0051,0.0014,0.2247,0.0978,19.5619
224,14.7778,2.3479,6.8828,5.7815,0.0102,6.8470,0.2943,0.0760,24.3788
225,13.3268,1.8347,0.0267,6.2910,0.0067,0.0014,0.1821,0.0809,15.4511
226,12.9126,1.9761,8.6478,5.5693,0.0058,8.6178,0.3057,0.0929,23.9351
227,13.8904,1.9253,0.0265,7.2310,0.0062,0.0015,0.1945,0.0878,16.1246
228,16.4030,1.8080,1.7477,5.5867,0.0055,1.7260,0.2056,0.0673,20.2318
229,18.0232,1.8135,0.0267,6.1699,0.0043,0.0016,0.2440,0.0566,20.1640
230,11.0240,1.7998,12.2824,11.7877,0.0062,12.2573,0.2993,0.0873,25.4930
231,10.3320,1.6875,0.0260,8.4975,0.0045,0.0016,0.1578,0.0696,12.2730
232,9.2679,1.8043,8.0595,8.3734,0.0099,8.0322,0.3331,0.1145,19.5792
233,14.9040,1.8347,0.0286,8.8730,0.0097,0.0013,0.2050,0.0893,17.0616
234,14.8152,1.9463,4.1742,5.5402,0.0076,4.1450,0.2389,0.0865,21.2611
235,16.6840,1.7246,0.0217,6.9206,0.0042,0.0013,0.1343,0.0957,18.6602
236,12.6629,1.9220,7.2062,5.5929,0.0053,7.1793,0.2506,0.0680,22.1096
237,14.6477,1.8556,0.0293,8.2210,0.0100,0.0010,0.1933,0.0701,16.7962
238,11.2645,2.1425,7.5937,5.5976,0.0035,7.5723,0.2859,0.0995,21.3860
239,14.9685,1.7197,0.0195,9.0169,0.0045,0.0012,0.1669,0.0735,16.9481
